,FIPS Code,State,"Percent of adults with less than a high school diploma, 2015-19","Percent of adults with a high school diploma only, 2015-19","Percent of adults completing some college or associate's degree, 2015-19","Percent of adults with a bachelor's degree or higher, 2015-19"
0,1007,AL,20.9,44.9,23.8,10.4
1,1009,AL,19.5,33.4,34.0,13.1
2,1021,AL,18.2,44.4,24.6,12.7
3,1073,AL,9.9,26.4,30.3,33.4
4,1115,AL,15.4,35.6,32.9,16.1
5,1117,AL,7.3,19.8,29.9,42.9
6,1127,AL,18.2,37.5,33.0,11.3
7,4013,AZ,12.3,22.4,32.6,32.7
8,4021,AZ,14.2,29.3,37.0,19.5
9,5035,AR,17.4,34.8,30.4,17.4
10,6001,CA,11.6,17.6,23.5,47.4
11,6013,CA,10.5,17.3,29.9,42.4
12,6017,CA,6.6,21.3,37.9,34.3
13,6037,CA,20.9,20.6,26.0,32.5
14,6041,CA,6.7,10.5,23.3,59.5
15,6059,CA,14.5,17.2,27.7,40.6
16,6061,CA,5.5,18.0,36.8,39.7
17,6065,CA,18.0,26.9,32.9,22.3
18,6067,CA,12.3,22.4,34.5,30.9
19,6069,CA,19.5,24.8,36.0,19.7
20,6071,CA,20.0,26.3,32.7,21.0
21,6073,CA,12.6,18.2,30.4,38.8
22,6075,CA,11.5,12.1,18.4,58.1
23,6081,CA,10.4,14.9,23.8,51.0
24,6085,CA,11.6,14.1,21.9,52.4
25,6113,CA,13.5,18.1,27.0,41.4
26,8001,CO,16.2,28.6,30.9,24.3
27,8005,CO,7.4,20.8,29.0,42.8
28,8014,CO,3.1,14.5,26.7,55.7
29,8019,CO,1.4,21.9,28.7,48.1
30,8031,CO,12.0,16.8,21.7,49.4
31,8035,CO,1.9,12.0,28.1,58.0
32,8039,CO,3.3,24.1,36.8,35.8
33,8047,CO,1.5,21.4,37.5,39.6
34,8059,CO,5.5,20.3,29.1,45.2
35,8093,CO,2.3,30.9,37.0,29.8
36,9003,CT,10.3,26.6,25.0,38.1
37,9007,CT,5.8,25.8,26.2,42.2
38,9013,CT,5.0,27.0,26.2,41.8
39,10003,DE,8.4,30.8,24.6,36.2
40,11001,DC,9.1,16.8,15.5,58.5
41,12003,FL,14.3,42.6,29.9,13.2
42,12011,FL,11.0,27.3,29.2,32.4
43,12019,FL,8.2,31.0,35.8,24.9
44,12031,FL,10.2,27.8,31.9,30.0
45,12053,FL,12.1,35.2,34.2,18.4
46,12057,FL,11.3,27.1,28.0,33.5
47,12069,FL,10.5,32.1,33.4,24.0
48,12086,FL,18.6,27.3,24.4,29.8
49,12089,FL,8.7,31.7,30.0,29.6
50,12095,FL,11.5,24.4,29.6,34.6
51,12097,FL,13.3,31.3,33.7,21.8
52,12099,FL,11.5,24.0,27.8,36.7
53,12101,FL,10.5,33.2,32.2,24.0
54,12103,FL,8.7,28.0,31.6,31.7
55,12109,FL,5.2,21.4,28.7,44.7
56,12117,FL,5.7,21.1,33.6,39.6
57,13013,GA,15.5,34.1,31.4,19.0
58,13015,GA,16.4,33.4,31.6,18.6
59,13035,GA,19.4,44.7,23.7,12.2
60,13045,GA,15.4,33.4,30.2,21.1
61,13057,GA,7.9,22.4,31.5,38.2
62,13063,GA,15.2,33.6,31.7,19.5
63,13067,GA,7.9,18.5,26.2,47.4
64,13077,GA,10.8,28.6,30.3,30.3
65,13085,GA,12.8,29.1,27.5,30.6
66,13089,GA,10.7,20.9,24.3,44.2
67,13097,GA,12.2,30.4,29.3,28.2
68,13113,GA,4.7,20.9,28.2,46.2
69,13117,GA,7.0,15.6,24.3,53.1
70,13121,GA,7.4,17.7,22.0,52.9
71,13135,GA,12.3,22.3,28.4,36.9
72,13143,GA,18.8,36.1,30.4,14.8
73,13149,GA,20.3,45.1,25.8,8.7
74,13151,GA,8.8,31.7,31.1,28.5
75,13159,GA,17.2,38.1,30.4,14.2
76,13171,GA,13.0,39.4,31.8,15.8
77,13199,GA,20.3,39.8,29.5,10.4
78,13211,GA,12.3,36.0,30.9,20.7
79,13217,GA,13.4,33.8,33.1,19.8
80,13223,GA,10.6,32.9,33.8,22.6
81,13227,GA,14.7,31.5,30.7,23.1
82,13231,GA,11.8,41.8,29.3,17.1
83,13247,GA,11.2,31.5,31.0,26.3
84,13255,GA,18.1,39.8,24.3,17.8
85,13297,GA,13.1,36.0,29.1,21.7
86,17005,IL,10.8,33.1,33.3,22.9
87,17013,IL,8.4,43.4,33.9,14.2
88,17027,IL,9.9,31.9,35.9,22.3
89,17031,IL,12.9,23.1,25.2,38.8
90,17037,IL,7.7,24.9,35.1,32.3
91,17043,IL,7.0,18.2,25.4,49.4
92,17063,IL,6.8,33.8,36.5,22.9
93,17083,IL,7.7,38.8,33.2,20.3
94,17089,IL,15.4,22.7,28.7,33.1
95,17093,IL,7.6,22.9,33.4,36.2
96,17097,IL,9.4,20.8,24.6,45.3
97,17111,IL,6.9,26.5,32.2,34.4
98,17117,IL,8.7,39.8,33.1,18.4
99,17119,IL,7.5,29.8,35.8,26.8
100,17133,IL,4.0,27.6,33.3,35.0
101,17163,IL,8.9,28.1,34.9,28.0
102,17197,IL,9.0,26.9,29.8,34.3
103,18011,IN,6.3,19.5,24.9,49.3
104,18013,IN,7.9,32.9,30.3,28.9
105,18019,IN,10.6,34.6,33.7,21.2
106,18029,IN,10.4,38.9,27.9,22.9
107,18043,IN,9.2,30.9,30.3,29.6
108,18057,IN,3.2,14.9,22.5,59.3
109,18059,IN,7.1,32.7,29.3,30.8
110,18061,IN,11.6,39.6,30.1,18.7
111,18063,IN,6.0,27.5,29.5,37.0
112,18073,IN,11.8,43.2,30.8,14.3
113,18081,IN,7.9,31.1,28.3,32.7
114,18089,IN,11.3,35.1,31.0,22.6
115,18095,IN,11.6,39.4,30.6,18.4
116,18097,IN,13.9,28.0,27.2,30.9
117,18109,IN,11.9,39.3,31.6,17.3
118,18111,IN,14.3,42.8,31.1,11.9
119,18115,IN,12.4,43.1,29.8,14.7
120,18127,IN,6.4,35.0,30.1,28.4
121,18133,IN,11.1,42.4,29.7,16.8
122,18143,IN,16.8,43.5,27.7,12.0
123,18145,IN,12.7,42.4,26.2,18.7
124,18161,IN,12.6,43.4,25.6,18.5
125,18175,IN,15.0,43.1,28.5,13.4
126,20091,KS,4.0,14.5,25.5,56.0
127,20103,KS,7.8,28.3,32.4,31.5
128,20107,KS,10.3,38.9,34.7,16.2
129,20121,KS,4.0,31.8,34.4,29.8
130,20209,KS,21.1,32.1,28.6,18.1
131,21015,KY,6.9,27.5,33.5,32.1
132,21023,KY,14.3,46.4,26.2,13.2
133,21029,KY,11.5,41.6,32.1,14.7
134,21037,KY,9.2,28.2,26.2,36.3
135,21077,KY,18.8,44.2,25.4,11.6
136,21081,KY,13.4,47.4,26.3,12.9
137,21103,KY,14.9,41.2,30.8,13.1
138,21111,KY,9.4,26.7,30.5,33.4
139,21117,KY,10.1,28.7,29.5,31.7
140,21185,KY,6.2,20.7,30.8,42.4
141,21191,KY,16.2,43.8,26.8,13.2
142,21211,KY,13.5,30.3,31.3,24.9
143,21215,KY,9.6,36.3,33.8,20.3
144,21223,KY,17.2,46.3,22.4,14.1
145,22051,LA,14.3,30.8,28.0,26.8
146,22071,LA,13.5,22.8,26.2,37.6
147,22075,LA,16.3,35.5,29.2,19.1
148,22087,LA,19.8,32.6,36.0,11.6
149,22089,LA,10.0,34.5,30.3,25.3
150,22093,LA,14.6,41.1,27.9,16.3
151,22095,LA,13.9,38.8,31.4,15.9
152,22103,LA,9.5,26.6,30.1,33.8
153,24003,MD,7.6,23.7,27.0,41.7
154,24005,MD,8.5,25.8,26.4,39.4
155,24009,MD,5.3,30.3,32.0,32.4
156,24013,MD,7.3,29.4,26.9,36.4
157,24015,MD,10.5,36.1,29.4,23.9
158,24017,MD,6.8,31.7,32.6,28.9
159,24021,MD,7.5,24.1,27.0,41.4
160,24025,MD,7.3,26.0,30.0,36.7
161,24027,MD,4.5,13.5,19.5,62.6
162,24031,MD,9.0,13.4,18.7,58.9
163,24033,MD,13.3,25.8,27.8,33.1
164,24035,MD,6.8,28.9,27.8,36.5
165,24510,MD,14.8,29.1,24.2,31.9
166,25005,MA,14.3,29.9,27.1,28.7
167,25009,MA,10.7,25.1,24.4,39.9
168,25017,MA,6.6,19.0,18.1,56.3
169,25021,MA,6.1,19.2,21.1,53.6
170,25023,MA,7.1,27.8,27.5,37.6
171,25025,MA,13.7,22.1,18.2,46.1
172,26087,MI,9.1,35.8,36.8,18.3
173,26093,MI,4.8,25.8,34.0,35.4
174,26099,MI,10.1,29.7,35.4,24.9
175,26125,MI,5.9,18.6,28.3,47.2
176,26147,MI,9.2,34.0,38.1,18.6
177,26163,MI,13.5,30.1,32.5,23.9
178,27003,MN,6.0,27.9,35.6,30.5
179,27019,MN,3.9,18.2,29.0,48.9
180,27025,MN,5.4,33.8,39.4,21.5
181,27037,MN,4.9,20.4,32.4,42.2
182,27053,MN,6.7,16.4,26.9,50.1
183,27059,MN,7.5,34.6,39.4,18.5
184,27079,MN,6.1,35.8,35.1,23.0
185,27095,MN,10.2,38.6,36.5,14.7
186,27123,MN,9.7,20.9,27.2,42.3
187,27139,MN,5.3,22.2,32.6,39.9
188,27141,MN,5.4,28.5,39.5,26.6
189,27143,MN,9.3,39.2,35.1,16.4
190,27163,MN,3.9,21.0,30.8,44.3
191,27171,MN,5.1,29.4,36.0,29.6
192,28009,MS,27.4,33.4,27.7,11.5
193,28033,MS,9.6,29.2,36.2,25.0
194,28093,MS,17.9,38.8,29.5,13.8
195,28137,MS,17.0,35.4,31.7,15.8
196,28143,MS,16.5,33.4,33.2,16.9
197,29013,MO,12.6,44.2,27.1,16.1
198,29025,MO,10.2,43.7,27.9,18.1
199,29037,MO,7.6,33.9,32.2,26.3
200,29047,MO,6.7,28.4,31.8,33.2
201,29049,MO,8.0,40.0,30.3,21.6
202,29071,MO,11.6,32.7,34.8,20.9
203,29095,MO,9.4,28.3,30.7,31.6
204,29099,MO,10.9,31.6,37.1,20.4
205,29107,MO,9.4,43.5,26.8,20.3
206,29113,MO,10.5,42.3,30.4,16.8
207,29165,MO,4.2,22.1,30.6,43.1
208,29177,MO,11.9,45.1,28.4,14.6
209,29183,MO,5.2,24.6,31.3,38.9
210,29189,MO,6.5,21.2,28.6,43.6
211,29219,MO,11.3,37.6,32.0,19.1
212,29510,MO,12.2,23.9,27.5,36.3
213,32003,NV,13.9,28.5,33.1,24.5
214,33015,NH,4.9,25.4,28.3,41.4
215,33017,NH,7.2,27.6,29.4,35.8
216,34003,NJ,7.5,22.7,20.5,49.3
217,34005,NJ,6.3,28.1,27.6,38.0
218,34007,NJ,11.3,29.5,26.7,32.5
219,34013,NJ,13.9,28.0,22.6,35.5
220,34015,NJ,7.1,32.0,27.9,33.0
221,34017,NJ,15.2,25.1,17.4,42.3
222,34019,NJ,5.0,21.0,21.3,52.7
223,34023,NJ,10.2,25.3,21.0,43.6
224,34025,NJ,6.6,23.4,24.0,46.0
225,34027,NJ,5.5,20.1,20.4,54.1
226,34029,NJ,8.0,34.0,28.0,30.0
227,34031,NJ,16.3,34.5,21.0,28.2
228,34033,NJ,11.2,38.4,29.4,21.0
229,34035,NJ,5.5,20.3,19.6,54.7
230,34037,NJ,5.1,30.6,28.2,36.1
231,34039,NJ,13.6,28.6,21.8,36.0
232,36005,NY,27.2,27.9,24.8,20.1
233,36027,NY,8.9,26.8,29.2,35.0
234,36029,NY,8.2,27.6,29.9,34.4
235,36047,NY,17.6,25.7,19.2,37.5
236,36051,NY,9.4,31.9,32.2,26.5
237,36055,NY,9.6,23.4,28.4,38.6
238,36059,NY,8.6,22.7,22.8,46.0
239,36061,NY,12.7,12.4,13.5,61.3
240,36063,NY,8.8,33.2,33.4,24.6
241,36069,NY,6.1,26.4,31.2,36.3
242,36071,NY,10.3,29.3,30.2,30.3
243,36073,NY,12.3,38.3,33.2,16.2
244,36079,NY,7.0,27.1,26.3,39.6
245,36081,NY,18.0,27.5,22.3,32.2
246,36085,NY,11.3,30.4,24.5,33.9
247,36087,NY,11.8,22.5,24.6,41.1
248,36103,NY,9.4,27.3,26.9,36.3
249,36117,NY,10.8,33.7,32.8,22.6
250,36119,NY,11.9,19.2,19.9,48.9
251,36123,NY,13.6,32.6,28.5,25.2
252,37025,NC,10.1,25.2,32.5,32.3
253,37053,NC,9.5,28.8,38.3,23.5
254,37069,NC,13.8,29.8,34.4,22.0
255,37071,NC,15.2,30.7,32.9,21.2
256,37073,NC,10.9,37.9,36.8,14.3
257,37097,NC,10.7,28.3,32.6,28.4
258,37101,NC,13.1,27.8,36.2,22.9
259,37109,NC,12.1,31.1,33.8,23.0
260,37119,NC,9.7,17.0,27.9,45.4
261,37159,NC,14.4,32.6,34.5,18.5
262,37179,NC,10.4,24.6,29.7,35.4
263,37183,NC,7.0,15.1,25.1,52.8
264,39015,OH,12.1,45.6,27.4,14.9
265,39017,OH,9.4,32.9,27.5,30.2
266,39025,OH,9.8,32.4,29.3,28.6
267,39035,OH,10.2,27.8,29.5,32.5
268,39041,OH,3.6,18.3,23.8,54.3
269,39045,OH,7.4,34.0,31.0,27.6
270,39049,OH,8.8,24.6,26.5,40.0
271,39055,OH,9.8,25.3,26.9,38.0
272,39061,OH,8.6,26.3,27.2,37.9
273,39073,OH,10.9,45.6,29.1,14.4
274,39085,OH,7.7,31.8,33.1,27.4
275,39089,OH,8.5,34.3,31.1,26.1
276,39093,OH,10.3,31.0,33.8,24.9
277,39097,OH,13.0,41.6,27.9,17.5
278,39103,OH,4.9,31.0,30.2,33.9
279,39117,OH,12.3,43.9,29.9,13.8
280,39127,OH,12.7,47.5,27.7,12.2
281,39129,OH,12.8,42.6,26.2,18.4
282,39159,OH,6.6,32.0,25.9,35.5
283,39165,OH,6.2,25.8,25.1,43.0
284,40017,OK,8.6,29.8,34.2,27.4
285,40027,OK,8.2,24.7,33.7,33.4
286,40051,OK,9.9,40.3,29.9,19.9
287,40081,OK,12.8,40.8,30.9,15.5
288,40083,OK,9.9,32.5,30.0,27.7
289,40087,OK,9.9,32.8,32.3,25.0
290,40109,OK,12.6,25.7,29.7,32.0
291,41005,OR,6.6,21.2,34.7,37.4
292,41009,OR,8.7,33.8,39.0,18.5
293,41051,OR,8.5,17.0,28.7,45.9
294,41067,OR,7.8,17.4,30.4,44.4
295,41071,OR,11.1,24.6,37.5,26.9
