FIPS_Code,State,Area_name,Rural_urban_continuum_code_2013,Urban_influence_code_2013,City/Suburb/Town/Rural,Metro_2013,Civilian_labor_force_2019,Employed_2019,Unemployed_2019,Unemployment_rate_2019,Median_Household_Income_2019,Med_HH_Income_Percent_of_State_Total_2019
1007,AL,"Bibb County, AL",1,1,City,1,"8,639","8,371",268,3.1,"47,918",92.6
1009,AL,"Blount County, AL",1,1,City,1,"25,196","24,516",680,2.7,"52,902",102.2
1021,AL,"Chilton County, AL",1,1,City,1,"19,841","19,296",545,2.7,"49,692",96
1073,AL,"Jefferson County, AL",1,1,City,1,"316,802","307,648","9,154",2.9,"54,127",104.6
1115,AL,"St. Clair County, AL",1,1,City,1,"40,698","39,591","1,107",2.7,"65,403",126.3
1117,AL,"Shelby County, AL",1,1,City,1,"116,412","113,842","2,570",2.2,"77,801",150.3
1127,AL,"Walker County, AL",1,1,City,1,"25,148","24,311",837,3.3,"45,991",88.8
4013,AZ,"Maricopa County, AZ",1,1,City,1,"2,298,810","2,202,716","96,094",4.2,"68,634",110.7
4021,AZ,"Pinal County, AZ",1,1,City,1,"189,834","180,277","9,557",5,"62,067",100.1
5035,AR,"Crittenden County, AR",1,1,City,1,"21,242","20,341",901,4.2,"41,976",85.6
6001,CA,"Alameda County, CA",1,1,City,1,"841,075","815,889","25,186",3,"107,589",133.8
6013,CA,"Contra Costa County, CA",1,1,City,1,"559,710","542,121","17,589",3.1,"106,555",132.5
6017,CA,"El Dorado County, CA",1,1,City,1,"92,132","88,833","3,299",3.6,"86,202",107.2
6037,CA,"Los Angeles County, CA",1,1,City,1,"5,122,843","4,888,581","234,262",4.6,"72,721",90.4
6041,CA,"Marin County, CA",1,1,City,1,"138,563","135,299","3,264",2.4,"112,069",139.3
6059,CA,"Orange County, CA",1,1,City,1,"1,613,108","1,567,233","45,875",2.8,"95,761",119.1
6061,CA,"Placer County, CA",1,1,City,1,"188,564","182,605","5,959",3.2,"97,688",121.5
6065,CA,"Riverside County, CA",1,1,City,1,"1,105,704","1,058,717","46,987",4.2,"72,905",90.7
6067,CA,"Sacramento County, CA",1,1,City,1,"710,167","683,551","26,616",3.7,"71,891",89.4
6069,CA,"San Benito County, CA",1,1,City,1,"32,258","30,632","1,626",5,"84,209",104.7
6071,CA,"San Bernardino County, CA",1,1,City,1,"965,015","927,370","37,645",3.9,"67,398",83.8
6073,CA,"San Diego County, CA",1,1,City,1,"1,580,059","1,528,282","51,777",3.3,"83,576",103.9
6075,CA,"San Francisco County/city, CA",1,1,City,1,"579,559","566,589","12,970",2.2,"121,795",151.4
6081,CA,"San Mateo County, CA",1,1,City,1,"456,317","446,771","9,546",2.1,"135,234",168.2
6085,CA,"Santa Clara County, CA",1,1,City,1,"1,048,221","1,021,586","26,635",2.5,"132,444",164.7
6113,CA,"Yolo County, CA",1,1,City,1,"107,931","103,397","4,534",4.2,"70,951",88.2
8001,CO,"Adams County, CO",1,1,City,1,"273,351","265,608","7,743",2.8,"75,341",97.7
8005,CO,"Arapahoe County, CO",1,1,City,1,"364,820","355,291","9,529",2.6,"82,364",106.8
8014,CO,"Broomfield County/city, CO",1,1,City,1,"40,475","39,517",958,2.4,"106,892",138.6
8019,CO,"Clear Creek County, CO",1,1,City,1,"6,059","5,915",144,2.4,"79,900",103.6
8031,CO,"Denver County/city, CO",1,1,City,1,"419,794","408,921","10,873",2.6,"75,456",97.9
