,FIPS Code,State,Area Name,Unemployed 2019,Unemployment Rate 2019
0,1007,AL,"Bibb County, AL",268,3.1
1,1009,AL,"Blount County, AL",680,2.7
2,1021,AL,"Chilton County, AL",545,2.7
3,1073,AL,"Jefferson County, AL","9,154",2.9
4,1115,AL,"St. Clair County, AL","1,107",2.7
5,1117,AL,"Shelby County, AL","2,570",2.2
6,1127,AL,"Walker County, AL",837,3.3
7,4013,AZ,"Maricopa County, AZ","96,094",4.2
8,4021,AZ,"Pinal County, AZ","9,557",5.0
9,5035,AR,"Crittenden County, AR",901,4.2
10,6001,CA,"Alameda County, CA","25,186",3.0
11,6013,CA,"Contra Costa County, CA","17,589",3.1
12,6017,CA,"El Dorado County, CA","3,299",3.6
13,6037,CA,"Los Angeles County, CA","234,262",4.6
14,6041,CA,"Marin County, CA","3,264",2.4
15,6059,CA,"Orange County, CA","45,875",2.8
16,6061,CA,"Placer County, CA","5,959",3.2
17,6065,CA,"Riverside County, CA","46,987",4.2
18,6067,CA,"Sacramento County, CA","26,616",3.7
19,6069,CA,"San Benito County, CA","1,626",5.0
20,6071,CA,"San Bernardino County, CA","37,645",3.9
21,6073,CA,"San Diego County, CA","51,777",3.3
22,6075,CA,"San Francisco County/city, CA","12,970",2.2
23,6081,CA,"San Mateo County, CA","9,546",2.1
24,6085,CA,"Santa Clara County, CA","26,635",2.5
25,6113,CA,"Yolo County, CA","4,534",4.2
26,8001,CO,"Adams County, CO","7,743",2.8
27,8005,CO,"Arapahoe County, CO","9,529",2.6
28,8014,CO,"Broomfield County/city, CO",958,2.4
29,8019,CO,"Clear Creek County, CO",144,2.4
30,8031,CO,"Denver County/city, CO","10,873",2.6
31,8035,CO,"Douglas County, CO","4,519",2.3
32,8039,CO,"Elbert County, CO",321,2.1
33,8047,CO,"Gilpin County, CO",85,2.2
34,8059,CO,"Jefferson County, CO","8,185",2.4
35,8093,CO,"Park County, CO",270,2.4
36,9003,CT,"Hartford County, CT","18,091",3.7
37,9007,CT,"Middlesex County, CT","2,891",3.1
38,9013,CT,"Tolland County, CT","2,740",3.1
39,10003,DE,"New Castle County, DE","10,644",3.5
40,11001,DC,District of Columbia,"22,250",5.4
41,12003,FL,"Baker County, FL",392,3.3
42,12011,FL,"Broward County, FL","33,239",3.2
43,12019,FL,"Clay County, FL","3,431",3.2
44,12031,FL,"Duval County, FL","16,895",3.5
45,12053,FL,"Hernando County, FL","3,176",4.4
46,12057,FL,"Hillsborough County, FL","24,690",3.3
47,12069,FL,"Lake County, FL","5,449",3.4
48,12086,FL,"Miami-Dade County, FL","35,418",2.6
49,12089,FL,"Nassau County, FL","1,291",3.1
50,12095,FL,"Orange County, FL","23,382",3.1
51,12097,FL,"Osceola County, FL","6,426",3.5
52,12099,FL,"Palm Beach County, FL","25,228",3.4
53,12101,FL,"Pasco County, FL","8,848",3.7
54,12103,FL,"Pinellas County, FL","15,391",3.2
55,12109,FL,"St. Johns County, FL","3,766",2.8
56,12117,FL,"Seminole County, FL","7,824",3.1
57,13013,GA,"Barrow County, GA","1,202",2.9
58,13015,GA,"Bartow County, GA","1,730",3.4
59,13035,GA,"Butts County, GA",379,3.4
60,13045,GA,"Carroll County, GA","1,989",3.6
61,13057,GA,"Cherokee County, GA","3,883",2.8
62,13063,GA,"Clayton County, GA","6,047",4.4
63,13067,GA,"Cobb County, GA","13,062",3.1
64,13077,GA,"Coweta County, GA","2,292",3.0
65,13085,GA,"Dawson County, GA",371,2.9
66,13089,GA,"DeKalb County, GA","14,164",3.6
67,13097,GA,"Douglas County, GA","2,678",3.7
68,13113,GA,"Fayette County, GA","1,794",3.1
69,13117,GA,"Forsyth County, GA","3,543",2.8
70,13121,GA,"Fulton County, GA","20,179",3.6
71,13135,GA,"Gwinnett County, GA","15,367",3.1
72,13143,GA,"Haralson County, GA",433,3.4
73,13149,GA,"Heard County, GA",178,3.4
74,13151,GA,"Henry County, GA","4,280",3.7
75,13159,GA,"Jasper County, GA",224,3.2
76,13171,GA,"Lamar County, GA",327,4.0
77,13199,GA,"Meriwether County, GA",414,4.7
